chrom	start	end	atac_is_dynamic
chrI	1870	2092	dynamic
chrI	3809	3994	dynamic
chrI	4302	4410	dynamic
chrI	11245	11465	dynamic
chrI	13087	13207	dynamic
chrI	15408	15593	dynamic
chrI	15729	15874	dynamic
chrI	16977	17092	dynamic
chrI	22284	22401	constitutive
chrI	22920	23021	constitutive
chrI	26924	27027	dynamic
chrI	27106	27213	dynamic
chrI	28121	28360	constitutive
chrI	30251	30443	constitutive
chrI	33301	33525	constitutive
chrI	33774	33909	dynamic
chrI	34619	34778	dynamic
chrI	35384	35526	dynamic
chrI	36005	36176	dynamic
chrI	36485	36609	dynamic
chrI	38984	39141	dynamic
chrI	39774	39928	dynamic
chrI	40317	40490	dynamic
chrI	40865	41027	dynamic
chrI	41379	41610	constitutive
chrI	42112	42286	dynamic
chrI	43019	43148	constitutive
chrI	45133	45268	dynamic
chrI	46648	46828	constitutive
chrI	47075	47182	dynamic
chrI	47477	47593	constitutive
chrI	56708	56898	constitutive
chrI	65763	65891	constitutive
chrI	67801	67910	dynamic
chrI	70045	70195	dynamic
chrI	71248	71370	constitutive
chrI	72364	72504	dynamic
chrI	74699	74867	constitutive
chrI	86379	86501	dynamic
chrI	90405	90622	constitutive
chrI	92241	92350	dynamic
chrI	92900	93001	dynamic
chrI	108281	108393	dynamic
chrI	109578	109780	constitutive
chrI	110115	110273	dynamic
chrI	110654	110768	constitutive
chrI	111190	111378	dynamic
chrI	112334	112580	dynamic
chrI	112716	112877	dynamic
chrI	114684	114859	dynamic
chrI	122360	122612	dynamic
chrI	123883	124079	dynamic
chrI	124781	124907	dynamic
chrI	126640	126775	dynamic
chrI	128257	128365	dynamic
chrI	128428	128536	dynamic
chrI	128712	128793	dynamic
chrI	129901	130039	dynamic
chrI	130405	130611	dynamic
chrI	130816	131026	dynamic
chrI	134046	134134	dynamic
chrI	134235	134357	dynamic
chrI	144699	144885	dynamic
chrI	153741	153929	dynamic
chrI	156030	156182	constitutive
chrI	159360	159513	dynamic
chrI	160774	160999	constitutive
chrI	165885	166043	constitutive
chrI	166974	167120	dynamic
chrI	167968	168220	dynamic
chrI	168565	168939	constitutive
chrI	169723	169899	dynamic
chrI	170655	170795	dynamic
chrI	171140	171254	dynamic
chrI	171747	171941	constitutive
chrI	172109	172220	constitutive
chrI	172389	172514	dynamic
chrI	172803	172991	dynamic
chrI	173219	173349	dynamic
chrI	176747	176960	dynamic
chrI	177367	177508	dynamic
chrI	178073	178219	constitutive
chrI	178410	178584	dynamic
chrI	179287	179408	dynamic
chrI	180195	180310	constitutive
chrI	182136	182298	constitutive
chrI	182951	183055	dynamic
chrI	183421	183568	constitutive
chrI	184799	184920	dynamic
chrI	188554	188732	dynamic
chrI	196846	196958	dynamic
chrI	206028	206142	constitutive
chrI	215703	215781	dynamic
chrI	215855	215972	dynamic
chrI	217734	217909	dynamic
chrI	226856	226971	constitutive
chrI	230499	230675	dynamic
chrI	231331	231488	dynamic
chrI	231943	232155	constitutive
chrI	232666	232777	dynamic
chrI	237744	237853	dynamic
chrI	238040	238168	constitutive
chrI	238463	238563	constitutive
chrI	240345	240485	dynamic
chrI	240797	240913	dynamic
chrI	251772	251868	dynamic
chrI	251918	252058	dynamic
chrI	257944	258094	constitutive
chrI	260218	260412	dynamic
chrI	262022	262179	dynamic
chrI	268150	268281	dynamic
chrI	270316	270504	dynamic
chrI	270973	271124	dynamic
chrI	272560	272710	dynamic
chrI	273615	273733	dynamic
chrI	274473	274616	dynamic
chrI	275716	275875	dynamic
chrI	276559	276736	dynamic
chrI	277104	277259	dynamic
chrI	278087	278245	constitutive
chrI	279908	280029	constitutive
chrI	280340	280534	constitutive
chrI	282047	282157	dynamic
chrI	287771	287964	dynamic
chrI	288153	288260	dynamic
chrI	289125	289251	constitutive
chrI	290391	290515	constitutive
chrI	293207	293338	dynamic
chrI	295963	296107	dynamic
chrI	296245	296386	dynamic
chrI	297441	297574	dynamic
chrI	297645	297749	dynamic
chrI	298429	298581	dynamic
chrI	299766	299929	dynamic
chrI	301270	301494	constitutive
chrI	302096	302258	constitutive
chrI	310897	311061	dynamic
chrI	311274	311472	dynamic
chrI	314286	314426	constitutive
chrI	315209	315391	constitutive
chrI	315503	315626	dynamic
chrI	316155	316292	dynamic
chrI	316694	316818	constitutive
chrI	318200	318305	constitutive
chrI	323535	323756	dynamic
chrI	335057	335175	dynamic
chrI	347189	347418	dynamic
chrI	347512	347590	dynamic
chrI	348384	348483	constitutive
chrI	354485	354667	constitutive
chrI	364011	364109	dynamic
chrI	364278	364417	dynamic
chrI	377270	377519	constitutive
chrI	378955	379103	constitutive
chrI	381555	381757	dynamic
chrI	382456	382587	constitutive
chrI	382829	382911	constitutive
chrI	390657	390759	constitutive
chrI	395276	395406	constitutive
chrI	397835	398008	dynamic
chrI	398490	398594	dynamic
chrI	400469	400730	dynamic
chrI	414438	414555	dynamic
chrI	418868	418978	dynamic
chrI	424599	424760	dynamic
chrI	426904	427092	dynamic
chrI	429215	429382	dynamic
chrI	430231	430347	dynamic
chrI	432150	432262	dynamic
chrI	432636	432832	constitutive
chrI	433609	433847	constitutive
chrI	434572	434821	dynamic
chrI	435527	435712	dynamic
chrI	436182	436291	constitutive
chrI	436924	437088	dynamic
chrI	437708	437873	dynamic
chrI	438131	438276	dynamic
chrI	439442	439583	dynamic
chrI	440517	440656	dynamic
chrI	440828	440973	dynamic
chrI	441363	441544	dynamic
chrI	442155	442340	dynamic
chrI	443217	443352	dynamic
chrI	445612	445768	dynamic
chrI	446384	446506	dynamic
chrI	447600	447844	dynamic
chrI	448653	448832	dynamic
chrI	449441	449650	dynamic
chrI	452602	452826	dynamic
chrI	453530	453676	dynamic
chrI	454825	454963	dynamic
chrI	461696	461801	dynamic
chrI	471054	471192	dynamic
chrI	475512	475614	dynamic
chrI	476317	476553	dynamic
chrI	477445	477631	dynamic
chrI	488368	488471	constitutive
chrI	489880	490032	dynamic
chrI	492704	492820	constitutive
chrI	506300	506400	dynamic
chrI	509932	510134	dynamic
chrI	510439	510628	constitutive
chrI	510767	510943	dynamic
chrI	511140	511359	dynamic
chrI	515153	515340	dynamic
chrI	516355	516478	dynamic
chrI	516664	516918	dynamic
chrI	518210	518315	dynamic
chrI	518534	518716	constitutive
chrI	519519	519630	constitutive
chrI	519871	520043	dynamic
chrI	520276	520603	dynamic
chrI	521453	521577	dynamic
chrI	524286	524384	dynamic
chrI	524576	524730	dynamic
chrI	526189	526358	dynamic
chrI	527282	527403	dynamic
chrI	527533	527701	dynamic
chrI	527964	528213	dynamic
chrI	529276	529391	dynamic
chrI	529531	529732	dynamic
chrI	529926	530046	dynamic
chrI	530228	530341	dynamic
chrI	530470	530618	dynamic
chrI	531124	531289	dynamic
chrI	531417	531501	dynamic
chrI	531633	531793	dynamic
chrI	532905	533040	constitutive
chrI	533214	533371	constitutive
chrI	533493	533616	dynamic
chrI	534276	534383	dynamic
chrI	535395	535511	dynamic
chrI	536372	536531	constitutive
chrI	536807	536945	constitutive
chrI	537292	537418	dynamic
chrI	538692	538889	constitutive
chrI	542288	542397	dynamic
chrI	543386	543517	dynamic
chrI	545591	545755	dynamic
chrI	545802	545891	dynamic
chrI	547209	547345	constitutive
chrI	548103	548232	dynamic
chrI	548434	548553	dynamic
chrI	549332	549472	dynamic
chrI	557304	557425	dynamic
chrI	561161	561269	dynamic
chrI	562978	563151	dynamic
chrI	566528	566728	dynamic
chrI	572718	572952	dynamic
chrI	575146	575328	dynamic
chrI	597050	597217	dynamic
chrI	606627	606794	dynamic
chrI	608897	609063	constitutive
chrI	611676	611878	constitutive
chrI	613189	613301	constitutive
chrI	613348	613433	dynamic
chrI	618028	618164	dynamic
chrI	630254	630426	dynamic
chrI	636784	636890	constitutive
chrI	638038	638139	dynamic
chrI	638327	638470	dynamic
chrI	640131	640256	constitutive
chrI	644872	645046	dynamic
chrI	649579	649717	constitutive
chrI	653948	654115	dynamic
chrI	663609	663714	constitutive
chrI	663996	664098	dynamic
chrI	666396	666596	constitutive
chrI	670816	671035	dynamic
chrI	678280	678385	dynamic
chrI	680036	680225	dynamic
chrI	681510	681621	constitutive
chrI	682958	683075	dynamic
chrI	716721	716836	constitutive
chrI	717707	717881	dynamic
chrI	719573	719753	dynamic
chrI	719947	720047	dynamic
chrI	720295	720407	dynamic
chrI	737595	737740	constitutive
chrI	744841	745071	dynamic
chrI	745485	745662	dynamic
chrI	754128	754313	constitutive
chrI	754613	754772	dynamic
chrI	756962	757105	dynamic
chrI	762056	762208	dynamic
chrI	763414	763639	dynamic
chrI	766005	766257	constitutive
chrI	770760	770954	dynamic
chrI	781560	781737	dynamic
chrI	784075	784250	dynamic
chrI	784542	784641	dynamic
chrI	785296	785460	dynamic
chrI	788066	788279	dynamic
chrI	788568	788815	dynamic
chrI	789451	789652	dynamic
chrI	794458	794701	dynamic
chrI	796996	797137	dynamic
chrI	798390	798548	dynamic
chrI	801331	801520	dynamic
chrI	801577	801761	dynamic
chrI	802005	802167	dynamic
chrI	803799	803962	dynamic
chrI	806861	807126	dynamic
chrI	807609	807862	dynamic
chrI	809019	809152	dynamic
chrI	809264	809378	dynamic
chrI	810843	811049	dynamic
chrI	812306	812438	dynamic
chrI	814029	814182	dynamic
chrI	815708	815804	dynamic
chrI	816029	816234	dynamic
chrI	818178	818364	dynamic
chrI	819533	819780	dynamic
chrI	820104	820223	constitutive
chrI	821584	821750	dynamic
chrI	822664	822993	dynamic
chrI	824737	824979	dynamic
