chrom_ce10	start_ce10	end_ce10	devel_is_dynamic	ageing_is_dynamic	devel_cluster_label	ageing_cluster_label
chrI	1900	2051	True	False	.	.
chrI	3826	3977	True	False	.	.
chrI	4276	4427	True	False	.	.
chrI	11272	11423	True	False	I1	stable
chrI	13070	13221	True	False	.	.
chrI	15430	15581	True	False	.	.
chrI	15722	15873	True	False	.	.
chrI	16958	17109	True	False	.	.
chrI	22266	22417	True	False	.	.
chrI	22895	23046	False	False	.	.
chrI	24452	24603	False	True	.	.
chrI	26902	27053	True	False	I2	stable
chrI	27082	27233	True	False	.	.
chrI	28163	28314	True	False	.	.
chrI	30271	30422	False	False	.	.
chrI	31958	32109	False	False	.	.
chrI	33340	33491	False	False	.	.
chrI	33764	33915	True	False	.	.
chrI	34239	34390	False	False	.	.
chrI	34626	34777	False	False	.	.
chrI	35381	35532	True	False	.	.
chrI	36018	36169	True	False	Mix8	stable
chrI	36471	36622	True	False	.	.
chrI	37988	38139	False	False	.	.
chrI	38986	39137	True	False	.	.
chrI	39776	39927	True	False	.	.
chrI	40327	40478	True	False	.	.
chrI	40869	41020	True	False	.	.
chrI	41422	41573	True	False	.	.
chrI	42126	42277	True	True	I2	I
chrI	42692	42843	False	False	.	.
chrI	43008	43159	False	True	.	.
chrI	44817	44968	False	True	.	.
chrI	45122	45273	True	True	.	.
chrI	46405	46556	False	False	.	.
chrI	46676	46827	False	False	.	.
chrI	47053	47204	True	False	G3	stable
chrI	47460	47611	False	False	.	.
chrI	56726	56877	True	False	.	.
chrI	65751	65902	False	False	.	.
chrI	67780	67931	True	False	.	.
chrI	70044	70195	True	False	Mix2	stable
chrI	71234	71385	False	False	.	.
chrI	71851	72002	False	False	.	.
chrI	72362	72513	True	False	G3	stable
chrI	74706	74857	True	True	.	.
chrI	75217	75368	False	True	.	.
chrI	86364	86515	True	False	Mix6	stable
chrI	90438	90589	False	False	.	.
chrI	91353	91504	True	False	.	.
chrI	91714	91865	False	False	.	.
chrI	92221	92372	True	False	.	.
chrI	92875	93026	True	False	G1	stable
chrI	96523	96674	False	False	.	.
chrI	98075	98226	False	False	.	.
chrI	108262	108413	True	False	Mix6	stable
chrI	109603	109754	False	False	.	.
chrI	110120	110271	True	False	I2	stable
chrI	110331	110482	True	True	I2	Mix5
