chrI	11272	11423	I1	stable
chrI	26902	27053	I2	stable
chrI	36018	36169	Mix8	stable
chrI	42126	42277	I2	I
chrI	47053	47204	G3	stable
chrI	70044	70195	Mix2	stable
chrI	72362	72513	G3	stable
chrI	86364	86515	Mix6	stable
chrI	92875	93026	G1	stable
chrI	108262	108413	Mix6	stable
chrI	110120	110271	I2	stable
chrI	110331	110482	I2	Mix5
chrI	110635	110786	stable	stable
chrI	122407	122558	Mix2	stable
chrI	126632	126783	Mix6	stable
chrI	128237	128388	G1	stable
chrI	128403	128554	Mix7	stable
chrI	134218	134369	Mix7	stable
chrI	166970	167121	H	stable
chrI	169733	169884	Mix6	stable
chrI	171122	171273	I1	stable
chrI	172376	172527	I2	Mix4
chrI	173207	173358	Mix6	Mix3
chrI	177363	177514	I2	stable
chrI	180176	180327	stable	stable
chrI	182927	183078	G4	stable
chrI	183261	183412	stable	stable
chrI	215836	215987	G2	stable
chrI	217734	217885	Mix8	stable
chrI	251910	252061	G2	stable
chrI	267240	267391	Mix8	stable
chrI	277106	277257	Mix4	stable
chrI	279892	280043	stable	stable
chrI	282027	282178	Mix3	stable
chrI	289111	289262	stable	stable
chrI	293197	293348	Mix4	stable
chrI	302102	302253	Mix1	stable
chrI	315227	315378	stable	stable
chrI	321003	321154	stable	stable
chrI	323569	323720	G4	stable
chrI	347231	347382	G2	stable
chrI	347475	347626	G1	stable
chrI	348358	348509	stable	stable
chrI	364271	364422	G2	stable
chrI	382446	382597	stable	stable
chrI	395264	395415	Mix2	stable
chrI	397844	397995	Mix2	stable
chrI	398466	398617	G1	stable
chrI	418846	418997	Mix4	stable
chrI	432129	432280	G1	I+H [1]
chrI	461671	461822	G4	stable
chrI	477459	477610	Mix7	stable
chrI	488344	488495	stable	stable
chrI	489880	490031	I2	I
chrI	506274	506425	G1	stable
chrI	510780	510931	Mix8	stable
chrI	516716	516867	Mix3	stable
chrI	518192	518343	stable	stable
chrI	518546	518697	stable	stable
chrI	519880	520031	G1	stable
chrI	521439	521590	Mix4	stable
chrI	529259	529410	H	stable
chrI	529557	529708	H	I+H [2]
chrI	530211	530362	H	stable
chrI	530466	530617	H	stable
chrI	531635	531786	H	stable
chrI	533479	533630	H	stable
chrI	534254	534405	G3	stable
chrI	535378	535529	G4	stable
chrI	536800	536951	stable	stable
chrI	538712	538863	stable	stable
chrI	545768	545919	I1	stable
chrI	547202	547353	stable	stable
chrI	550456	550607	G3	I+H [2]
chrI	557289	557440	H	stable
chrI	562622	562773	stable	Mix1
chrI	566552	566703	Mix4	stable
chrI	575159	575310	H	I+H [1]
chrI	608904	609055	Mix1	stable
chrI	618022	618173	I2	I+H [1]
chrI	629589	629740	Mix8	stable
chrI	636763	636914	G4	stable
chrI	638012	638163	G3	stable
chrI	640117	640268	stable	stable
chrI	653957	654108	G4	stable
chrI	663586	663737	G4	stable
chrI	680054	680205	I2	stable
chrI	716703	716854	stable	stable
chrI	719588	719739	G1	stable
chrI	719921	720072	G3	stable
chrI	737588	737739	stable	stable
chrI	745495	745646	H	I+H [2]
chrI	756959	757110	H	stable
chrI	762058	762209	Mix8	stable
chrI	763453	763604	H	I+H [2]
chrI	770779	770930	Mix6	stable
chrI	836127	836278	H	I+H [1]
chrI	851674	851825	Mix1	stable
chrI	852412	852563	stable	stable
chrI	852722	852873	stable	stable
chrI	853245	853396	stable	stable
chrI	879863	880014	Mix1	stable
chrI	881484	881635	Mix3	stable
chrI	882557	882708	Mix1	stable
chrI	882753	882904	Mix1	stable
chrI	882949	883100	Mix1	stable
chrI	895033	895184	G3	stable
chrI	896002	896153	stable	stable
chrI	929718	929869	N+M	stable
chrI	935117	935268	stable	I+H [1]
